sales_pk,date,store_id,store_name,store_city,store_state,store_region,store_type,department,category,subcategory,item_name,plu_code,unit_type,units_sold,item_count,unit_price,revenue,transactions
2026-04-20__store_007__PLU-4279,2026-04-20,store_007,Pflugerville Pick,Pflugerville,TX,Central,Rural,Fresh Produce,Fruit,Citrus,Ruby Grapefruit,PLU-4279,each,75,82,1.53,114.75,31
2026-04-20__store_007__PLU-3668,2026-04-20,store_007,Pflugerville Pick,Pflugerville,TX,Central,Rural,,,Citrus,Clementines,PLU-3668,bag,50,64,5.21,260.5,23
2026-04-20__store_007__PLU-4011,2026-04-20,store_007,Pflugerville Pick,Pflugerville,TX,Central,Rural,Fresh Produce,Fruit,Tropical,Bananas,PLU-4011,lb,330,380,0.48,158.4,132
2026-04-20__store_007__PLU-3114,2026-04-20,store_007,Pflugerville Pick,Pflugerville,TX,Central,Rural,Fresh Produce,Fruit,Tropical,Mangoes,PLU-3114,each,68,86,1.44,97.92,29
2026-04-20__store_007__PLU-4430,2026-04-20,store_007,Pflugerville Pick,Pflugerville,TX,Central,Rural,Fresh Produce,Fruit,Tropical,Pineapple,PLU-4430,each,31,40,2.91,90.21,23
2026-04-20__store_007__PLU-4046,2026-04-20,store_007,Pflugerville Pick,Pflugerville,TX,Central,Rural,Fresh Produce,Fruit,Tropical,Avocado,PLU-4046,each,89,123,1.28,113.92,58
2026-04-20__store_007__PLU-4394,2026-04-20,store_007,Pflugerville Pick,Pflugerville,TX,Central,Rural,Fresh Produce,Fruit,Tropical,Papaya,PLU-4394,each,31,38,2.57,79.67,14
2026-04-20__store_007__PLU-3143,2026-04-20,store_007,Pflugerville Pick,Pflugerville,TX,Central,Rural,Fresh Produce,Fruit,Berries,Strawberries,PLU-3143,pint,104,106,3.84,399.36,61
2026-04-20__store_007__PLU-3219,2026-04-20,store_007,Pflugerville Pick,Pflugerville,TX,Central,Rural,Fresh Produce,Fruit,Berries,Blueberries,PLU-3219,pint,74,86,4.31,318.94,49
2026-04-20__store_007__PLU-3218,2026-04-20,store_007,Pflugerville Pick,Pflugerville,TX,Central,Rural,Fresh Produce,Fruit,Berries,Raspberries,PLU-3218,pint,41,44,5.05,207.05,27
2026-04-20__store_007__PLU-3221,2026-04-20,store_007,Pflugerville Pick,Pflugerville,TX,Central,Rural,Fresh Produce,Fruit,Berries,Blackberries,PLU-3221,pint,23,29,5.18,119.14,10
2026-04-20__store_007__PLU-O3090,2026-04-20,store_007,Pflugerville Pick,Pflugerville,TX,Central,Rural,Organic,Organic Vegetables,Organic Greens,Organic Spinach,PLU-O3090,bag,21,23,5.48,115.08,10
2026-04-20__store_007__PLU-O3090,2026-04-20,store_007,Pflugerville Pick,Pflugerville,TX,Central,Rural,Organic,Organic Vegetables,Organic Greens,Organic Spinach,PLU-O3090,bag,21,23,5.48,115.08,10
2026-04-20__store_007__PLU-O3627,2026-04-20,store_007,Pflugerville Pick,Pflugerville,TX,Central,Rural,Organic,Organic Vegetables,Organic Greens,Organic Kale,PLU-O3627,bunch,16,22,4.56,72.96,10
2026-04-20__store_007__PLU-O3096,2026-04-20,store_007,Pflugerville Pick,Pflugerville,TX,Central,Rural,Organic,Organic Vegetables,Organic Greens,Organic Arugula,PLU-O3096,bag,21,24,6.05,127.05,10
2026-04-20__store_007__PLU-O3143,2026-04-20,store_007,Pflugerville Pick,Pflugerville,TX,Central,Rural,Organic,Organic Fruit,Organic Berries,Organic Strawberries,PLU-O3143,pint,50,60,6.44,322,37
2026-04-20__store_007__PLU-O3219,2026-04-20,store_007,Pflugerville Pick,Pflugerville,TX,Central,Rural,Organic,Organic Fruit,Organic Berries,Organic Blueberries,PLU-O3219,pint,42,49,6.67,280.14,21
2026-04-20__store_007__PLU-4899,2026-04-20,store_007,Pflugerville Pick,Pflugerville,TX,Central,Rural,Fresh Herbs,Culinary Herbs,Fresh Herbs,Basil,PLU-4899,bunch,39,40,2.55,99.45,30
2026-04-20__store_007__PLU-4898,2026-04-20,store_007,Pflugerville Pick,Pflugerville,TX,Central,Rural,Fresh Herbs,Culinary Herbs,Fresh Herbs,Cilantro,PLU-4898,bunch,39,44,1.43,55.77,25
2026-04-20__store_007__PLU-4901,2026-04-20,store_007,Pflugerville Pick,Pflugerville,TX,Central,Rural,Fresh Herbs,Culinary Herbs,Fresh Herbs,Parsley,PLU-4901,bunch,33,35,1.35,44.55,18
2026-04-20__store_007__PLU-4902,2026-04-20,store_007,Pflugerville Pick,Pflugerville,TX,Central,Rural,Fresh Herbs,Culinary Herbs,Fresh Herbs,Mint,PLU-4902,bunch,41,56,2.04,83.64,17
,2026-04-20,store_007,Pflugerville Pick,Pflugerville,TX,Central,Rural,Fresh Herbs,Culinary Herbs,Fresh Herbs,Rosemary,PLU-4903,bunch,20,28,2.28,45.6,11
